CMDLINE python3 WovtServer.py
MEM 43.886719 1514908716.4091
MEM 43.886719 1514908716.5477
MEM 43.886719 1514908716.6659
MEM 43.886719 1514908716.7746
MEM 43.886719 1514908716.8869
MEM 43.886719 1514908716.9986
MEM 43.886719 1514908717.1129
MEM 43.886719 1514908717.2231
MEM 43.886719 1514908717.3409
MEM 43.886719 1514908717.4590
MEM 43.886719 1514908717.5748
MEM 43.886719 1514908717.6955
MEM 43.886719 1514908717.8137
MEM 43.886719 1514908717.9255
MEM 43.886719 1514908718.0382
MEM 43.886719 1514908718.1510
MEM 43.886719 1514908718.2647
MEM 43.886719 1514908718.3800
MEM 43.886719 1514908718.4916
MEM 43.886719 1514908718.6046
MEM 43.886719 1514908718.7212
MEM 43.886719 1514908718.8370
MEM 43.886719 1514908718.9512
MEM 43.886719 1514908719.0685
MEM 43.886719 1514908719.1772
MEM 43.886719 1514908719.2874
MEM 43.886719 1514908719.3998
MEM 43.886719 1514908719.5085
MEM 43.886719 1514908719.6174
MEM 43.886719 1514908719.7291
MEM 43.886719 1514908719.8374
MEM 43.886719 1514908719.9497
MEM 43.886719 1514908720.0600
MEM 43.886719 1514908720.1777
MEM 43.886719 1514908720.2910
MEM 43.886719 1514908720.4017
MEM 43.886719 1514908720.5086
MEM 43.886719 1514908720.6269
MEM 43.886719 1514908720.7479
MEM 43.886719 1514908720.8581
MEM 43.886719 1514908720.9714
MEM 43.886719 1514908721.0841
MEM 43.886719 1514908721.1941
MEM 43.886719 1514908721.3087
MEM 43.886719 1514908721.4200
MEM 43.886719 1514908721.5298
MEM 43.886719 1514908721.6400
MEM 43.886719 1514908721.7534
MEM 43.886719 1514908721.8958
MEM 43.886719 1514908722.0368
MEM 43.886719 1514908722.1668
MEM 43.886719 1514908722.3063
MEM 43.886719 1514908722.4344
MEM 43.886719 1514908722.5653
MEM 43.886719 1514908722.6812
MEM 43.886719 1514908722.7998
MEM 43.886719 1514908722.9166
MEM 43.886719 1514908723.0288
MEM 43.886719 1514908723.1471
MEM 43.886719 1514908723.2578
MEM 43.886719 1514908723.3730
MEM 43.886719 1514908723.4893
MEM 43.886719 1514908723.5974
MEM 43.886719 1514908723.7074
MEM 43.886719 1514908723.8191
MEM 43.886719 1514908723.9324
MEM 43.886719 1514908724.0421
MEM 43.886719 1514908724.1545
MEM 43.886719 1514908724.2717
MEM 43.886719 1514908724.3849
MEM 43.886719 1514908724.4961
MEM 43.886719 1514908724.6093
MEM 43.886719 1514908724.7237
MEM 43.886719 1514908724.8359
MEM 43.886719 1514908724.9452
MEM 43.886719 1514908725.0591
MEM 43.886719 1514908725.1747
MEM 43.886719 1514908725.2914
MEM 43.886719 1514908725.4012
MEM 43.886719 1514908725.5145
MEM 43.886719 1514908725.6248
MEM 43.886719 1514908725.7361
MEM 43.886719 1514908725.8548
MEM 43.886719 1514908725.9724
MEM 43.886719 1514908726.0877
MEM 43.886719 1514908726.2005
MEM 43.886719 1514908726.3112
MEM 43.886719 1514908726.4210
MEM 43.886719 1514908726.5384
MEM 43.886719 1514908726.6593
MEM 43.886719 1514908726.7741
MEM 43.886719 1514908726.8839
MEM 43.886719 1514908727.0013
MEM 43.886719 1514908727.1124
MEM 43.886719 1514908727.2331
MEM 43.886719 1514908727.3528
MEM 43.886719 1514908727.4655
MEM 43.886719 1514908727.5763
MEM 43.886719 1514908727.6897
MEM 43.886719 1514908727.8078
MEM 43.886719 1514908727.9433
MEM 43.886719 1514908728.0748
MEM 43.886719 1514908728.1925
MEM 43.886719 1514908728.3252
MEM 43.886719 1514908728.4418
MEM 43.886719 1514908728.5531
MEM 43.886719 1514908728.6663
MEM 43.886719 1514908728.7790
MEM 43.886719 1514908728.8908
MEM 44.144531 1514908729.0012
MEM 44.144531 1514908729.1149
MEM 44.144531 1514908729.2316
MEM 44.144531 1514908729.3434
MEM 44.144531 1514908729.4532
MEM 44.144531 1514908729.5648
MEM 44.144531 1514908729.6763
MEM 44.144531 1514908729.7925
MEM 44.144531 1514908729.9042
MEM 44.144531 1514908730.0169
MEM 44.144531 1514908730.1277
MEM 44.144531 1514908730.2365
MEM 44.144531 1514908730.3498
MEM 44.144531 1514908730.4640
MEM 44.144531 1514908730.5753
MEM 44.144531 1514908730.6831
MEM 44.144531 1514908730.7940
MEM 44.144531 1514908730.9067
MEM 44.144531 1514908731.0190
MEM 44.144531 1514908731.1332
MEM 44.144531 1514908731.2513
MEM 44.144531 1514908731.3730
MEM 44.144531 1514908731.4839
MEM 44.144531 1514908731.5950
MEM 44.144531 1514908731.7065
MEM 44.144531 1514908731.8188
MEM 44.144531 1514908731.9299
MEM 44.144531 1514908732.0452
MEM 44.144531 1514908732.1604
MEM 44.144531 1514908732.2741
MEM 44.144531 1514908732.3875
MEM 44.144531 1514908732.5126
MEM 44.144531 1514908732.6223
MEM 44.144531 1514908732.7331
MEM 44.144531 1514908732.8473
MEM 44.144531 1514908732.9591
MEM 44.144531 1514908733.0744
MEM 44.144531 1514908733.1970
MEM 44.144531 1514908733.3127
MEM 44.144531 1514908733.4246
MEM 44.144531 1514908733.5403
MEM 44.144531 1514908733.6688
MEM 44.144531 1514908733.8044
MEM 44.144531 1514908733.9315
MEM 44.402344 1514908734.0610
MEM 44.402344 1514908734.1846
MEM 44.402344 1514908734.3127
MEM 44.609375 1514908734.4269
MEM 44.609375 1514908734.5387
MEM 44.609375 1514908734.6485
MEM 44.609375 1514908734.7613
MEM 44.609375 1514908734.8720
MEM 44.609375 1514908734.9833
MEM 44.609375 1514908735.0971
MEM 44.609375 1514908735.2113
MEM 44.609375 1514908735.3414
MEM 44.609375 1514908735.4511
MEM 44.609375 1514908735.5610
MEM 44.609375 1514908735.6722
MEM 44.609375 1514908735.7870
MEM 44.609375 1514908735.8973
MEM 44.609375 1514908736.0105
MEM 44.609375 1514908736.1258
MEM 44.609375 1514908736.2375
MEM 44.609375 1514908736.3472
MEM 44.609375 1514908736.4596
MEM 44.617188 1514908736.5792
MEM 44.617188 1514908736.6906
MEM 44.617188 1514908736.8018
MEM 44.617188 1514908736.9144
MEM 44.617188 1514908737.0264
MEM 44.617188 1514908737.1431
MEM 44.617188 1514908737.2662
MEM 44.617188 1514908737.3839
MEM 44.617188 1514908737.4937
MEM 44.617188 1514908737.6065
MEM 44.617188 1514908737.7167
MEM 44.617188 1514908737.8290
MEM 44.617188 1514908737.9412
MEM 44.617188 1514908738.0510
MEM 44.617188 1514908738.1821
MEM 44.617188 1514908738.3152
MEM 44.617188 1514908738.4404
MEM 44.617188 1514908738.5685
MEM 44.617188 1514908738.6791
MEM 44.617188 1514908738.8078
MEM 44.617188 1514908738.9225
MEM 44.617188 1514908739.0347
MEM 44.617188 1514908739.1436
MEM 44.617188 1514908739.2554
MEM 44.617188 1514908739.3676
MEM 44.617188 1514908739.5002
MEM 44.617188 1514908739.6273
MEM 44.617188 1514908739.7489
MEM 44.617188 1514908739.8603
MEM 44.617188 1514908740.0190
MEM 44.617188 1514908740.1515
MEM 44.617188 1514908740.2756
MEM 44.617188 1514908740.4269
MEM 44.617188 1514908740.5372
MEM 44.617188 1514908740.6613
MEM 44.617188 1514908740.7895
MEM 44.617188 1514908740.9117
MEM 44.617188 1514908741.0241
MEM 44.617188 1514908741.1396
MEM 44.617188 1514908741.2494
MEM 44.617188 1514908741.3613
MEM 44.617188 1514908741.4750
MEM 44.617188 1514908741.5862
MEM 44.617188 1514908741.7053
MEM 44.617188 1514908741.8895
MEM 44.617188 1514908742.0085
MEM 44.617188 1514908742.1282
MEM 44.617188 1514908742.2405
MEM 44.617188 1514908742.3523
MEM 44.617188 1514908742.4738
MEM 44.617188 1514908742.5853
MEM 44.617188 1514908742.6985
MEM 44.617188 1514908742.8068
MEM 44.617188 1514908742.9201
MEM 44.617188 1514908743.0413
MEM 44.617188 1514908743.1550
MEM 44.617188 1514908743.2677
MEM 44.617188 1514908743.3765
MEM 44.617188 1514908743.4894
MEM 44.617188 1514908743.5986
MEM 44.617188 1514908743.7104
MEM 44.617188 1514908743.8222
MEM 44.871094 1514908743.9324
MEM 44.871094 1514908744.0634
MEM 44.871094 1514908744.1748
MEM 44.871094 1514908744.2895
MEM 44.871094 1514908744.4043
MEM 44.871094 1514908744.5224
MEM 44.871094 1514908744.6321
MEM 44.871094 1514908744.7480
MEM 44.871094 1514908744.8617
MEM 44.871094 1514908744.9725
MEM 44.871094 1514908745.0957
MEM 44.871094 1514908745.2089
MEM 44.871094 1514908745.3208
MEM 44.871094 1514908745.4359
MEM 44.871094 1514908745.5470
MEM 44.871094 1514908745.6853
MEM 44.871094 1514908745.8157
MEM 44.871094 1514908745.9523
MEM 44.871094 1514908746.0758
MEM 44.871094 1514908746.2005
MEM 44.871094 1514908746.3246
MEM 44.871094 1514908746.4384
MEM 44.871094 1514908746.5535
MEM 44.871094 1514908746.6677
MEM 44.871094 1514908746.7792
MEM 44.871094 1514908746.8982
MEM 44.871094 1514908747.0091
MEM 44.871094 1514908747.1244
MEM 44.871094 1514908747.2371
MEM 44.871094 1514908747.3469
MEM 44.871094 1514908747.4616
MEM 44.871094 1514908747.5719
MEM 44.871094 1514908747.6832
MEM 44.871094 1514908747.7984
MEM 44.871094 1514908747.9167
MEM 44.871094 1514908748.0329
MEM 44.871094 1514908748.1442
MEM 44.871094 1514908748.2539
MEM 44.871094 1514908748.3691
MEM 44.871094 1514908748.4830
MEM 44.871094 1514908748.5985
MEM 44.871094 1514908748.7218
MEM 44.871094 1514908748.8399
MEM 44.871094 1514908748.9492
MEM 44.871094 1514908749.0571
MEM 44.871094 1514908749.1634
MEM 44.949219 1514908749.2797
MEM 45.164062 1514908749.3940
MEM 45.164062 1514908749.5042
MEM 45.164062 1514908749.6184
MEM 45.164062 1514908749.7322
MEM 45.164062 1514908749.8429
MEM 45.164062 1514908749.9523
MEM 45.164062 1514908750.0704
MEM 45.164062 1514908750.1935
MEM 45.164062 1514908750.3213
MEM 45.164062 1514908750.4452
MEM 45.164062 1514908750.5620
MEM 45.164062 1514908750.6778
MEM 45.164062 1514908750.7924
MEM 45.164062 1514908750.9285
MEM 45.164062 1514908751.0723
MEM 45.164062 1514908751.1891
MEM 45.164062 1514908751.3009
MEM 45.164062 1514908751.4088
MEM 45.164062 1514908751.5541
MEM 45.164062 1514908751.6904
MEM 45.164062 1514908751.8113
MEM 45.164062 1514908751.9517
MEM 45.164062 1514908752.1061
MEM 45.164062 1514908752.2524
MEM 45.164062 1514908752.3894
MEM 45.164062 1514908752.5194
MEM 45.164062 1514908752.6323
MEM 45.164062 1514908752.7540
MEM 45.164062 1514908752.8716
MEM 45.164062 1514908752.9813
MEM 45.164062 1514908753.0931
MEM 45.164062 1514908753.2045
MEM 45.164062 1514908753.3178
MEM 45.164062 1514908753.4433
MEM 45.164062 1514908753.5560
MEM 45.164062 1514908753.6669
MEM 45.164062 1514908753.7792
MEM 45.164062 1514908753.8914
MEM 45.164062 1514908754.0002
MEM 45.164062 1514908754.1130
MEM 45.164062 1514908754.2243
MEM 45.164062 1514908754.3405
MEM 45.164062 1514908754.4537
MEM 45.164062 1514908754.5670
MEM 45.164062 1514908754.6798
MEM 45.164062 1514908754.7905
MEM 45.164062 1514908754.9043
MEM 45.164062 1514908755.0190
MEM 45.164062 1514908755.1368
MEM 45.164062 1514908755.2539
MEM 45.164062 1514908755.3653
MEM 45.164062 1514908755.4740
MEM 45.164062 1514908755.5848
MEM 45.164062 1514908755.6939
MEM 45.164062 1514908755.8058
MEM 45.164062 1514908755.9221
MEM 45.164062 1514908756.0382
MEM 45.164062 1514908756.1496
MEM 45.164062 1514908756.2588
MEM 45.164062 1514908756.3746
MEM 45.164062 1514908756.4878
MEM 45.164062 1514908756.6036
MEM 45.164062 1514908756.7153
MEM 45.164062 1514908756.8266
MEM 45.164062 1514908756.9502
MEM 45.164062 1514908757.0600
MEM 45.164062 1514908757.1738
MEM 45.164062 1514908757.2860
MEM 45.164062 1514908757.3944
MEM 45.164062 1514908757.5051
MEM 45.164062 1514908757.6472
MEM 45.164062 1514908757.7786
MEM 45.164062 1514908757.8997
MEM 45.164062 1514908758.0442
MEM 45.164062 1514908758.1648
MEM 45.164062 1514908758.2895
MEM 45.164062 1514908758.4097
MEM 45.164062 1514908758.5201
MEM 45.164062 1514908758.6322
MEM 45.164062 1514908758.7445
MEM 45.164062 1514908758.8583
MEM 45.164062 1514908758.9671
MEM 45.164062 1514908759.0863
MEM 45.164062 1514908759.2006
MEM 45.164062 1514908759.3188
MEM 45.417969 1514908759.4325
MEM 45.417969 1514908759.5428
MEM 45.417969 1514908759.6535
MEM 45.417969 1514908759.7653
MEM 45.417969 1514908759.8787
MEM 45.417969 1514908759.9913
MEM 45.417969 1514908760.1010
MEM 45.417969 1514908760.2203
MEM 45.417969 1514908760.3355
MEM 45.417969 1514908760.4508
MEM 45.417969 1514908760.5591
MEM 45.417969 1514908760.6738
MEM 45.417969 1514908760.7856
MEM 45.417969 1514908760.8959
MEM 45.417969 1514908761.0121
MEM 45.417969 1514908761.1288
MEM 45.417969 1514908761.2386
MEM 45.417969 1514908761.3494
MEM 45.417969 1514908761.4602
MEM 45.417969 1514908761.5720
MEM 45.417969 1514908761.6877
MEM 45.609375 1514908761.7994
MEM 45.609375 1514908761.9111
MEM 45.609375 1514908762.0220
MEM 45.609375 1514908762.1298
MEM 45.609375 1514908762.2420
MEM 45.609375 1514908762.3653
MEM 45.609375 1514908762.4745
MEM 45.609375 1514908762.5868
MEM 45.609375 1514908762.7014
MEM 45.609375 1514908762.8124
MEM 45.609375 1514908762.9280
MEM 45.609375 1514908763.0458
MEM 45.609375 1514908763.1575
MEM 45.609375 1514908763.2711
MEM 45.609375 1514908763.3821
MEM 45.609375 1514908763.5117
MEM 45.609375 1514908763.6452
MEM 45.609375 1514908763.7797
MEM 45.609375 1514908763.9117
MEM 45.609375 1514908764.0512
MEM 45.609375 1514908764.1737
MEM 45.609375 1514908764.2861
